[[ 0.  0.  0.]
 [ 0.  2.  0.]]
         157320 function calls (155583 primitive calls) in 5.653 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 base.py:211(Context)
      237    0.000    0.000    0.002    0.000 pkg_resources.py:2303(_get_metadata)
      433    0.000    0.000    0.000    0.000 {time.time}
        1    0.000    0.000    0.000    0.000 key.py:61(<module>)
      486    0.000    0.000    0.001    0.000 posixpath.py:104(splitext)
        1    0.000    0.000    0.000    0.000 collections.py:1(<module>)
      100    0.000    0.000    0.000    0.000 lib.py:115(errcheck_glend)
      698    0.000    0.000    0.000    0.000 {_struct.unpack}
        1    0.000    0.000    0.004    0.004 lib.py:37(<module>)
     1271    0.000    0.000    0.000    0.000 {min}
        1    0.000    0.000    0.001    0.001 random.py:40(<module>)
      486    0.000    0.000    0.002    0.000 pkg_resources.py:1133(safe_name)
      111    0.000    0.000    0.000    0.000 __init__.py:363(__setattr__)
        1    0.000    0.000    0.017    0.017 type_check.py:3(<module>)
        1    0.000    0.000    0.000    0.000 fftpack.py:32(<module>)
      233    0.000    0.000    0.000    0.000 pkg_resources.py:1927(fixup_namespace_packages)
        1    0.000    0.000    0.032    0.032 add_newdocs.py:10(<module>)
      518    0.000    0.000    0.000    0.000 stat.py:40(S_ISDIR)
      419    0.000    0.000    0.000    0.000 __init__.py:843(<lambda>)
      187    0.000    0.000    0.000    0.000 sre_parse.py:257(_escape)
     1682    0.000    0.000    0.000    0.000 {chr}
      571    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.001    0.001 __init__.py:3(<module>)
        1    0.000    0.000    0.001    0.001 numerictypes.py:82(<module>)
        1    0.000    0.000    0.000    0.000 utils.py:4(<module>)
      485    0.000    0.000    0.000    0.000 urlparse.py:332(<genexpr>)
       98    0.000    0.000    0.001    0.000 {method 'send' of 'generator' objects}
      556    0.000    0.000    0.000    0.000 __init__.py:104(CFunctionType)
       23    0.000    0.000    0.000    0.000 {method 'close' of 'file' objects}
      119    0.000    0.000    0.000    0.000 {method 'acquire' of 'thread.lock' objects}
        1    0.000    0.000    0.001    0.001 urlparse.py:29(<module>)
        1    0.000    0.000    0.001    0.001 result.py:1(<module>)
       99    0.000    0.000    0.000    0.000 Contours:157(update)
        1    0.000    0.000    0.002    0.002 util.py:4(<module>)
      580    0.000    0.000    0.000    0.000 sre_parse.py:90(__init__)
        1    0.000    0.000    0.016    0.016 lib_glx.py:36(<module>)
        3    0.000    0.000    0.002    0.001 __init__.py:630(_update_exclusivity)
        1    0.000    0.000    0.008    0.008 tokenize.py:23(<module>)
        1    0.000    0.000    0.001    0.001 glu.py:38(<module>)
        2    0.000    0.000    0.005    0.003 xlib.py:313(attach)
        1    0.000    0.000    0.000    0.000 io.py:34(<module>)
     1008    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      279    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:935(_event_text_symbol)
        1    0.000    0.000    0.052    0.052 __init__.py:59(<module>)
        3    0.000    0.000    0.000    0.000 arrayprint.py:547(fillFormat)
       92    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      516    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
      110    0.000    0.000    0.000    0.000 xlib.py:147(fileno)
